City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,lodwar,3.1191,35.5973,29.839999999999975,48,100,1.14,KE,2025-1-9
98,tripoli,32.8752,13.1875,16.660000000000025,52,74,4.65,LY,2025-1-9
99,maceio,-9.6658,-35.7353,28.839999999999975,88,20,2.06,BR,2025-1-9
100,blackmans bay,-43.0167,147.3167,31.220000000000027,56,16,3.82,AU,2025-1-9
101,jamestown,42.097,-79.2353,-5.050000000000011,86,100,2.06,US,2025-1-9
102,morondava,-20.2833,44.2833,32.72000000000003,62,49,1.64,MG,2025-1-9
103,fale old settlement,-9.3852,-171.2468,31.379999999999995,69,93,8.19,TK,2025-1-9
104,mitu,1.1983,-70.1733,26.20999999999998,91,52,0.28,CO,2025-1-9
105,lukolela,-1.0605,17.1821,24.430000000000007,95,78,1.18,CD,2025-1-9
106,daru,-9.0763,143.2092,30.49000000000001,83,100,2.41,PG,2025-1-9
107,isafjordur,66.0755,-23.124,0.9700000000000273,84,54,5.9,IS,2025-1-9
108,tyukhtet,56.5389,89.3011,-13.490000000000009,97,65,2.52,RU,2025-1-9
109,longyearbyen,78.2186,15.6401,1.0600000000000023,93,75,6.17,SJ,2025-1-9
110,new norfolk,-42.7826,147.0587,30.769999999999982,32,27,3.33,AU,2025-1-9
111,cromwell,41.5951,-72.6454,0.9200000000000159,68,0,5.66,US,2025-1-9
112,falenki,58.3613,51.5946,0.2400000000000091,90,95,4.75,RU,2025-1-9
113,maua,-23.6678,-46.4614,22.589999999999975,99,86,2.12,BR,2025-1-9
114,kruisfontein,-34.0033,24.7314,22.44999999999999,85,52,4.45,ZA,2025-1-9
115,ciudad lazaro cardenas,17.9583,-102.2,27.939999999999998,78,98,3.13,MX,2025-1-9
116,bartica,6.4,-58.6167,23.980000000000018,95,14,1.2,GY,2025-1-9
117,sitia,35.2,26.0986,16.04000000000002,73,0,1.22,GR,2025-1-9
118,keflavik,64.0049,-22.5624,3.3899999999999864,86,20,5.14,IS,2025-1-9
119,siquirres,10.0975,-83.5066,24.30000000000001,98,100,1.66,CR,2025-1-9
120,port mathurin,-19.6833,63.4167,29.04000000000002,89,86,10.75,MU,2025-1-9
121,enewetak,11.3474,162.3373,30.480000000000018,79,8,9.38,MH,2025-1-9
122,alamosa,37.4695,-105.87,-4.860000000000014,57,75,4.12,US,2025-1-9
123,faya-largeau,17.9257,19.1043,18.24000000000001,38,9,10.3,TD,2025-1-9
124,qaqortoq,60.7167,-46.0333,-6.7099999999999795,71,22,3.74,GL,2025-1-9
125,hiratacho,35.4333,132.8167,4.1299999999999955,93,75,5.14,JP,2025-1-9
126,saipan,15.1355,145.701,35.54000000000002,78,40,6.17,MP,2025-1-9
127,tarko-sale,64.9225,77.785,-11.79000000000002,89,100,11.37,RU,2025-1-9
128,antsiranana,-12.2787,49.2917,28.569999999999993,83,20,2.06,MG,2025-1-9
129,mariental,-24.6333,17.9667,25.060000000000002,38,5,4.25,NA,2025-1-9
130,kapuskasing,49.4169,-82.4331,-6.800000000000011,85,100,4.63,CA,2025-1-9
131,howard springs,-12.497,131.047,36.47000000000003,78,100,2.58,AU,2025-1-9
132,kulhudhuffushi,6.6221,73.07,30.560000000000002,81,95,8.2,MV,2025-1-9
133,mount gambier,-37.8333,140.7667,34.389999999999986,26,78,4.04,AU,2025-1-9
134,carnarvon,-24.8667,113.6333,29.480000000000018,58,89,7.28,AU,2025-1-9
135,ta`u,-14.2336,-169.5144,31.399999999999977,77,100,11.6,AS,2025-1-9
136,east end,34.5507,-92.341,2.180000000000007,96,100,2.54,US,2025-1-9
137,puerto aysen,-45.4,-72.7,10.819999999999993,89,2,1.28,CL,2025-1-9
138,jaguarao,-32.5661,-53.3758,20.410000000000025,91,0,2.7,BR,2025-1-9
139,merizo village,13.2658,144.6691,33.139999999999986,82,86,6.52,GU,2025-1-9
140,montepuez,-13.1256,38.9997,24.24000000000001,97,35,1.52,MZ,2025-1-9
